academic_year,provider_slug,download_url,bytes
2023-24,roehampton,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/roehampton/grant-data-tables,5446
2023-24,rose-bruford-college-of-theatre-and-performance,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/rose-bruford-college-of-theatre-and-performance/grant-data-tables,3992
2023-24,royal-academy-of-dramatic-art,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/royal-academy-of-dramatic-art/grant-data-tables,3396
2023-24,royal-academy-of-music,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/royal-academy-of-music/grant-data-tables,3543
2023-24,royal-agricultural-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/royal-agricultural-university/grant-data-tables,3864
2023-24,royal-central-school-of-speech-and-drama,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/royal-central-school-of-speech-and-drama/grant-data-tables,4109
2023-24,royal-college-of-art,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/royal-college-of-art/grant-data-tables,3676
2023-24,royal-college-of-music,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/royal-college-of-music/grant-data-tables,3697
2023-24,royal-holloway-university-of-london,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/royal-holloway-university-of-london/grant-data-tables,8150
2023-24,royal-northern-college-of-music,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/royal-northern-college-of-music/grant-data-tables,3904
2023-24,royal-veterinary-college,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/royal-veterinary-college/grant-data-tables,3962
2023-24,salford,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/salford/grant-data-tables,5321
2023-24,school-of-oriental-and-african-studies,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/school-of-oriental-and-african-studies/grant-data-tables,6298
2023-24,sheffield,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/sheffield/grant-data-tables,8022
2023-24,sheffield-hallam-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/sheffield-hallam-university/grant-data-tables,6340
2023-24,solent-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/solent-university/grant-data-tables,3761
2023-24,southampton,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/southampton/grant-data-tables,7780
2023-24,st-georges-university-of-london,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/st-georges-university-of-london/grant-data-tables,4181
2023-24,st-marys-university-twickenham-london,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/st-marys-university-twickenham-london/grant-data-tables,4740
