academic_year,discipline,mainstream_qr,london_qr,rdp_qr,charity_qr,business_qr,total_qr,research_councils,charities,central_government,industry,overseas,identifiable_research_funding
2013-14,Social Sciences,178639170.0,5369082.0,43602264.0,6879522.886740815,4293721.990730578,238783760.8774714,104514000.0,27193000.0,55731000.0,19678000.0,92748000.0,538647760.8774714
2013-14,STEM,456166539.0,10061481.0,112067910.0,49986823.463838056,37586584.69548223,665869338.1593202,849722000.0,212108000.0,176413000.0,161997000.0,524511000.0,2590620338.1593204
2013-14,Health,225303224.0,11580109.0,49042785.0,135139585.61654687,20603413.38654021,441669117.00308704,320234000.0,563179000.0,449515000.0,70518000.0,316403000.0,2161518117.003087
2014-15,Arts and Humanities,158386043.0,4652637.0,34693327.0,5539214.117785719,1259551.2134600182,204530772.33124575,54342000.0,23304000.0,5172000.0,5912000.0,44399000.0,337659772.3312458
2014-15,Social Sciences,178639170.0,5369082.0,42975324.0,8139606.475342464,3363543.0585392187,238486725.5338817,104815000.0,34070000.0,55365000.0,19163000.0,98882000.0,550781725.5338817
2014-15,STEM,456124415.0,10056426.0,113041839.0,51878008.7396345,37130818.42573961,668231507.1653742,926751000.0,212010000.0,264385000.0,181898000.0,541359000.0,2794634507.1653743
2014-15,Health,225303224.0,11580109.0,49485937.0,131965144.66723733,21915127.302261166,440249541.9694985,357786000.0,589526000.0,522401000.0,73163000.0,346875000.0,2330000541.9694986
2015-16,Arts and Humanities,157284657.19643337,4532571.035411625,27530904.755117968,5360130.734423996,903437.0396996253,195611700.76108658,56100000.0,25316000.0,5800000.0,5684000.0,47630000.0,336141700.7610866
2015-16,Social Sciences,192059894.01373878,5917439.236744344,33115569.841818117,7471637.261798677,3687513.430514911,242252053.78461483,106979000.0,36485000.0,63304000.0,20688000.0,98620000.0,568328053.7846148
2015-16,STEM,424758308.31414574,10964738.217473757,115860690.05506435,40531743.2044195,33473054.96841143,625588534.7595148,970505000.0,203472000.0,241559000.0,180595000.0,537463000.0,2759182534.759515
2015-16,Health,243125111.43007934,11357280.5559732,63492835.347999536,144636488.79935783,25935994.561374035,488547710.6947839,430070000.0,699020000.0,494563000.0,85615000.0,402537000.0,2600352710.694784
2016-17,Arts and Humanities,157284657.19643337,4532571.035411625,27530904.755117968,6564372.259164454,1029543.3304029983,196942048.5765304,57081000.0,29663000.0,5768000.0,5886000.0,54911000.0,350251048.5765304
2016-17,Social Sciences,192059894.01373878,5917439.236744344,33115569.841818117,7471795.882757486,3649122.2875121455,242213821.26257086,118350000.0,36445000.0,66077000.0,20828000.0,106865000.0,590778821.2625709
2016-17,STEM,424758308.31414574,10964738.217473757,115860690.05506435,49212797.00977516,34002172.7663906,634798706.3628496,1016605000.0,250048000.0,235662000.0,181234000.0,541035000.0,2859382706.3628497
2016-17,Health,243125111.43007934,11357280.5559732,63492835.347999536,134751034.8483029,25319161.61569426,478045423.7980492,380215000.0,666399000.0,472873000.0,87947000.0,436636000.0,2522115423.798049
2017-18,Arts and Humanities,157284657.19643337,4532571.035411625,27530904.755117968,6220970.816801709,1097877.4926161692,196666981.29638085,63830000.0,30979000.0,5981000.0,7393000.0,56968000.0,361817981.2963809
2017-18,Social Sciences,192059894.01373878,5917439.236744344,33115569.841818117,7975241.31529275,3507314.120085854,242575458.52767986,130878000.0,39505000.0,61909000.0,21556000.0,114249000.0,610672458.5276799
2017-18,STEM,424758308.31414574,10964738.217473757,115860690.05506435,53655086.530466124,35209333.89591092,640448157.0130609,1068653000.0,279244000.0,290286000.0,178841000.0,585521000.0,3042993157.013061
2017-18,Health,243125111.43007934,11357280.5559732,63492835.347999536,130148701.3374394,24185474.491387058,472309403.1628785,381282000.0,673446000.0,500224000.0,88570000.0,450896000.0,2566727403.1628785
2018-19,Arts and Humanities,157284657.19643337,4532571.035411625,29825146.818044465,6551594.7090409435,952277.1225309618,199146246.88146135,66985000.0,33152000.0,7413000.0,6490000.0,59466000.0,372652246.8814614
2018-19,Social Sciences,192059894.01373878,5917439.236744344,35875200.66196963,8276120.105212441,3282472.909585198,245411126.9272504,134090000.0,38186000.0,60544000.0,21932000.0,122613000.0,622776126.9272504
2018-19,STEM,424758308.31414574,10964738.217473757,125515747.5596531,56516073.11917426,32273317.200026385,650028184.4104732,1192614000.0,284593000.0,302291000.0,185905000.0,586325000.0,3201756184.4104733
2018-19,Health,243125111.43007934,11357280.5559732,68783904.96033284,132656212.06657235,27491932.767857455,483414441.78081524,405552000.0,684850000.0,510596000.0,101755000.0,495397000.0,2681564441.780815
2019-20,Arts and Humanities,162890634.0,4694122.0,29584271.0,5703963.787693556,832451.3897146315,203705442.1774082,70136000.0,32477000.0,7113000.0,5413000.0,55677000.0,374521442.1774082
2019-20,Social Sciences,198905338.0,6128350.0,35585463.0,8283778.3187259035,3187922.1354144593,252090851.45414037,138826000.0,39077000.0,54196000.0,21315000.0,118123000.0,623627851.4541404
2019-20,STEM,439897644.0,11355546.0,124502049.0,52291724.73157077,32589514.936235562,660636478.6678064,1088977000.0,265829000.0,292164000.0,176891000.0,556827000.0,3041324478.6678066
2019-20,Health,259016875.0,12111461.0,70524651.0,137242291.16200978,27059254.538635343,505954532.7006451,395439000.0,665626000.0,517840000.0,92039000.0,495502000.0,2672400532.700645
2020-21,Arts and Humanities,162890634.0,4694122.0,28323539.0,5882980.418385136,798616.2573288727,202589891.67571402,76542000.0,30832000.0,6903000.0,4997000.0,53068000.0,374931891.675714
2020-21,Social Sciences,198905338.0,6128350.0,34441403.0,8117079.781611198,3239958.802031319,250832129.5836425,172480000.0,44164000.0,61857000.0,20084000.0,110241000.0,659658129.5836425
2020-21,STEM,439897644.0,11355546.0,128030970.0,52408533.15578759,32356496.32886544,664049189.484653,1123795000.0,266411000.0,327271000.0,162678000.0,539851000.0,3084055189.484653
2020-21,Health,259016875.0,12111461.0,69400493.0,137113226.64421597,27273850.61177437,504915906.2559903,438924000.0,683538000.0,547278000.0,88309000.0,466119000.0,2729083906.2559905
2021-22,Arts and Humanities,162890634.0,4694122.0,28595713.0,5827625.117727758,1011841.5969695309,203019935.7146973,86974000.0,33855000.0,7053000.0,6802000.0,54685000.0,392388935.7146973
2021-22,Social Sciences,198905338.0,6128350.0,34790356.0,8434176.768137418,3529521.2721947515,251787742.04033217,190242000.0,47603000.0,71158000.0,22636000.0,124030000.0,707456742.0403322
2021-22,STEM,439897644.0,11355546.0,126576107.0,54594150.82181128,30577634.811523627,663001082.6333349,1148813000.0,286399000.0,315429000.0,207209000.0,545593000.0,3166444082.633335
2021-22,Health,259016875.0,12111461.0,70234248.0,134665581.2923235,28550222.319312092,504578387.61163557,469359000.0,712577000.0,645379000.0,106351000.0,530834000.0,2969078387.6116357
2022-23,Arts and Humanities,203012584.0,5591945.0,37712648.0,5705531.5063174805,2229755.8478827304,254252464.3542002,98793000.0,33768000.0,8693000.0,9093000.0,54353000.0,458952464.35420024
2022-23,Social Sciences,229304293.0,6447783.0,43776727.0,9326983.416226314,5438191.5030368315,294293977.9192631,207802000.0,55839000.0,93955000.0,21054000.0,124076000.0,797019977.9192631
2022-23,STEM,511849580.0,12517160.0,160531849.0,58123371.8178116,57018540.632899806,800040501.4507115,1219843000.0,290873000.0,341952000.0,214807000.0,527403000.0,3394918501.4507113
2022-23,Health,321452857.0,13092250.0,89745181.0,145365975.25964457,48982963.01618061,618639226.2758253,488665000.0,756395000.0,661394000.0,124482000.0,559813000.0,3209388226.2758255
2023-24,Arts and Humanities,203012584.0,5591945.0,39371757.0,5430922.566630958,2316678.4418357303,255723887.0084667,99433000.0,32423000.0,9348000.0,10657000.0,42150000.0,449734887.0084667
2023-24,Social Sciences,229304293.0,6447783.0,45482334.0,8972379.646045947,5254916.631924276,295461706.2779702,219612000.0,53664000.0,110926000.0,21424000.0,113260000.0,814347706.2779702
2023-24,STEM,511849580.0,12517160.0,158862458.0,57684762.311040044,56257483.307509534,797171443.6185496,1410566000.0,297950000.0,416165000.0,211637000.0,462643000.0,3596132443.6185493
2023-24,Health,321452857.0,13092250.0,95049877.0,146433623.47628307,49840198.61873045,625868806.0950135,479750000.0,725668000.0,693178000.0,130472000.0,562293000.0,3217229806.0950136
2024-25,Arts and Humanities,202971382.0,5590810.0,40011158.130483024,5303903.128348764,2599999.064758545,256477252.32359034,96086000.0,34752000.0,10306000.0,13125000.0,36877000.0,447623252.32359034
2024-25,Social Sciences,229257700.0,6446465.0,46253991.36720826,8945003.951597232,5289818.959907905,296192979.2787134,221193000.0,56038000.0,125069000.0,20932000.0,101623000.0,821047979.2787135
2024-25,STEM,511745623.0,12514616.0,161456594.83805266,58043683.178316765,53556615.17696372,797317132.1933331,1463728000.0,305011000.0,510047000.0,203522000.0,385311000.0,3664936132.193333
2024-25,Health,321387565.0,13085828.0,96278256.66425599,146707414.74173722,52553563.79836984,630012628.2043631,469450000.0,705160000.0,712698000.0,125944000.0,488639000.0,3131903628.204363
